month_start,month_label,time_index,genai_share_pct,software_postings_index,total_postings_index_sa,thread_id,thread_title,top_level_comments,software_posts,junior_intern_mentions,senior_mentions,mixed_mentions,unspecified_seniority,junior_intern_share,senior_share,junior_intern_share_3m,senior_share_3m
2022-11-01,2022-11,0,0.411323367050962,147.08566666666667,147.735,33422129,Ask HN: Who is hiring? (November 2022),524,450,24,236,15,205,0.0533333333333333,0.5244444444444445,0.0533333333333333,0.5244444444444445
2022-12-01,2022-12,1,0.49219457670953254,135.28967741935483,144.4206451612903,33818037,Ask HN: Who is hiring? (December 2022),481,403,23,217,10,173,0.0570719602977667,0.5384615384615384,0.05520264681555,0.5314529914529915
2023-01-01,2023-01,2,0.6199668428360403,126.32774193548387,140.58225806451614,34219335,Ask HN: Who is hiring? (January 2023),364,306,22,151,14,147,0.0718954248366013,0.4934640522875817,0.0607669061559004,0.5187900117311882
2023-02-01,2023-02,3,0.88610303935234,114.17214285714286,136.57357142857143,34612353,Ask HN: Who is hiring? (February 2023),436,373,15,175,8,191,0.0402144772117962,0.4691689008042895,0.056393954115388,0.5003648305178032
2023-03-01,2023-03,4,0.9312174279438356,102.56,134.95225806451614,34983767,Ask HN: Who is hiring? (March 2023),406,343,12,171,5,165,0.0349854227405247,0.4985422740524781,0.0490317749296407,0.4870584090481165
2023-04-01,2023-04,5,1.2510428889254381,98.187,136.025,35424807,Ask HN: Who is hiring? (April 2023),353,298,9,149,4,144,0.0302013422818791,0.5,0.0351337474114,0.4892370582855892
2023-05-01,2023-05,6,1.8937645500655675,97.37096774193549,134.68870967741935,35773707,Ask HN: Who is hiring? (May 2023),342,286,12,160,6,120,0.0419580419580419,0.5594405594405595,0.0357149356601486,0.5193276111643459
2023-06-01,2023-06,7,2.4246590843600417,86.96366666666667,131.80566666666667,36152014,Ask HN: Who is hiring? (June 2023),331,282,14,131,2,139,0.0496453900709219,0.4645390070921986,0.0406015914369477,0.5079931888442527
2023-07-01,2023-07,8,3.215945952208642,83.54838709677419,129.42548387096775,36573871,Ask HN: Who is hiring? (July 2023),306,259,15,135,3,112,0.0579150579150579,0.5212355212355212,0.0498394966480072,0.5150716959227598
2023-08-01,2023-08,9,5.172575856869678,79.41451612903225,128.5041935483871,36956867,Ask HN: Who is hiring? (August 2023),344,304,15,156,7,140,0.0493421052631578,0.5131578947368421,0.0523008510830459,0.4996441410215206
