month_start,thread_id,thread_title,top_level_comments,software_posts,junior_intern_mentions,senior_mentions,mixed_mentions,unspecified_seniority,junior_intern_share,senior_share,junior_intern_share_3m,senior_share_3m
2022-11-01,33422129,Ask HN: Who is hiring? (November 2022),524,450,24,236,15,205,0.05333333333333334,0.5244444444444445,0.05333333333333334,0.5244444444444445
2022-12-01,33818037,Ask HN: Who is hiring? (December 2022),481,403,23,217,10,173,0.05707196029776675,0.5384615384615384,0.05520264681555004,0.5314529914529915
2023-01-01,34219335,Ask HN: Who is hiring? (January 2023),364,306,22,151,14,147,0.0718954248366013,0.4934640522875817,0.06076690615590046,0.5187900117311882
2023-02-01,34612353,Ask HN: Who is hiring? (February 2023),436,373,15,175,8,191,0.040214477211796246,0.4691689008042895,0.05639395411538809,0.5003648305178032
2023-03-01,34983767,Ask HN: Who is hiring? (March 2023),406,343,12,171,5,165,0.03498542274052478,0.49854227405247814,0.04903177492964078,0.4870584090481165
2023-04-01,35424807,Ask HN: Who is hiring? (April 2023),353,298,9,149,4,144,0.030201342281879196,0.5,0.035133747411400074,0.4892370582855892
2023-05-01,35773707,Ask HN: Who is hiring? (May 2023),342,286,12,160,6,120,0.04195804195804196,0.5594405594405595,0.03571493566014865,0.5193276111643459
2023-06-01,36152014,Ask HN: Who is hiring? (June 2023),331,282,14,131,2,139,0.04964539007092199,0.4645390070921986,0.040601591436947713,0.5079931888442527
2023-07-01,36573871,Ask HN: Who is hiring? (July 2023),306,259,15,135,3,112,0.05791505791505792,0.5212355212355212,0.04983949664800729,0.5150716959227598
2023-08-01,36956867,Ask HN: Who is hiring? (August 2023),344,304,15,156,7,140,0.049342105263157895,0.5131578947368421,0.052300851083045934,0.49964414102152066
2023-09-01,37351667,Ask HN: Who is hiring? (September 2023),296,258,6,142,2,112,0.023255813953488372,0.5503875968992248,0.04350432571056806,0.5282603376238627
2023-10-01,37739028,Ask HN: Who is hiring? (October 2023),321,271,10,158,5,108,0.03690036900369004,0.5830258302583026,0.03649942940677877,0.5488571072981232
2023-11-01,38099086,Ask HN: Who is hiring? (November 2023),362,311,14,161,7,143,0.04501607717041801,0.5176848874598071,0.03505742004253214,0.5503661048724449
2023-12-01,38490811,Ask HN: Who is hiring? (December 2023),314,269,12,147,7,117,0.04460966542750929,0.5464684014869888,0.04217537053387244,0.5490597064016995
2024-01-01,38842977,Ask HN: Who is hiring? (January 2024),278,240,10,133,8,105,0.041666666666666664,0.5541666666666667,0.04376413642153132,0.5394399852044875
2024-02-01,39217310,Ask HN: Who is hiring? (February 2024),341,282,9,157,8,124,0.031914893617021274,0.5567375886524822,0.039397075237065746,0.5524575522687126
2024-03-01,39562986,Ask HN: Who is hiring? (March 2024),300,251,12,150,8,97,0.04780876494023904,0.5976095617529881,0.040463441741308996,0.5695046056907124
2024-04-01,39894820,Ask HN: Who is hiring? (April 2024),291,249,9,140,6,106,0.03614457831325301,0.5622489959839357,0.03862274562350445,0.5721987154631353
2024-05-01,40224213,Ask HN: Who is hiring? (May 2024),398,331,13,179,6,145,0.03927492447129909,0.540785498489426,0.04107608924159705,0.56688135207545
2024-06-01,40563283,Ask HN: Who is hiring? (June 2024),340,293,7,174,5,117,0.023890784982935155,0.5938566552901023,0.03310342925582909,0.5656303832544881
2024-07-01,40846428,Ask HN: Who is hiring? (July 2024),380,319,11,173,5,140,0.034482758620689655,0.542319749216301,0.03254948935830796,0.5589873009986098
2024-08-01,41129813,Ask HN: Who is hiring? (August 2024),325,273,10,155,5,113,0.03663003663003663,0.5677655677655677,0.03166786007788715,0.5679806574239904
2024-09-01,41425910,Ask HN: Who is hiring? (September 2024),304,263,11,127,5,130,0.04182509505703422,0.4828897338403042,0.037645963435920166,0.530991683607391
2024-10-01,41709301,Ask HN: Who is hiring? (October 2024),330,275,9,140,6,132,0.03272727272727273,0.509090909090909,0.037060801471447864,0.5199154035655936
2024-11-01,42017580,Ask HN: Who is hiring? (November 2024),318,272,11,144,7,124,0.04044117647058824,0.5294117647058824,0.038331181418298395,0.5071308025456985
2024-12-01,42297424,Ask HN: Who is hiring? (December 2024),330,270,14,149,7,114,0.05185185185185185,0.5518518518518518,0.04167343368323761,0.5301181752162144
2025-01-01,42575537,Ask HN: Who is hiring? (January 2025),276,233,13,120,8,108,0.055793991416309016,0.5150214592274678,0.049362339912916366,0.532095025261734
2025-02-01,42919502,Ask HN: Who is hiring? (February 2025),396,339,18,188,10,143,0.05309734513274336,0.5545722713864307,0.053581062800301414,0.5404818608219168
2025-03-01,43243024,Ask HN: Who is hiring? (March 2025),354,289,16,157,10,126,0.05536332179930796,0.5432525951557093,0.05475155278278678,0.5376154419232027
2025-04-01,43547611,Ask HN: Who is hiring? (April 2025),307,263,7,136,4,124,0.026615969581749048,0.5171102661596958,0.04502554550460012,0.538311710900612
2025-05-01,43858554,Ask HN: Who is hiring? (May 2025),301,260,10,139,4,115,0.038461538461538464,0.5346153846153846,0.040146943280865155,0.5316594153102633
